date,total_value
2022-07-04,998808.2899999992
2022-07-05,997866.492747798
2022-07-06,1011300.7344296544
2022-07-07,1022416.81469572
2022-07-08,1026780.2375986609
2022-07-11,1028626.3778168206
2022-07-12,1018980.7959302897
2022-07-13,1019567.5579441125
2022-07-14,1018623.9969060799
2022-07-15,1027207.180847638
2022-07-18,1043814.4767888461
2022-07-19,1047949.2297525454
2022-07-20,1056090.2938693524
2022-07-21,1067992.0346733197
2022-07-22,1072652.4020273904
2022-07-25,1069753.861189672
2022-07-26,1061225.7311823198
2022-07-27,1072297.4246822705
2022-07-28,1089712.3537430197
2022-07-29,1105529.496957573
2022-08-01,1117779.269870186
2022-08-02,1119863.621356364
2022-08-03,1120132.9177340975
2022-08-04,1122654.2787296015
2022-08-05,1121834.4727040438
2022-08-08,1127917.1551332683
2022-08-10,1130285.2217931745
2022-08-11,1135005.824778647
2022-08-12,1138192.1839912175
2022-08-16,1149200.8522231872
2022-08-17,1159274.3766862922
2022-08-18,1160351.9136318646
2022-08-19,1147274.3013105842
2022-08-22,1127749.3232638407
2022-08-23,1137577.7839758517
2022-08-24,1140207.9942261477
2022-08-25,1136184.2493422616
2022-08-26,1143378.6612797696
2022-08-29,1131536.4926653882
2022-08-30,1156855.542173759
2022-09-01,1149914.5606219755
2022-09-02,1147719.5580592076
2022-09-05,1153674.6366194205
2022-09-06,1155094.8373246642
2022-09-07,1157584.7286366846
2022-09-08,1165300.5928472322
2022-09-09,1166952.6231146485
2022-09-12,1175371.73892649
2022-09-13,1184309.5371809413
2022-09-14,1181407.6211903454
2022-09-15,1175045.536035008
2022-09-16,1152301.1270581456
2022-09-19,1156938.5137688105
2022-09-20,1173494.4988780036
2022-09-21,1163697.0439079436
2022-09-22,1162713.7238953118
2022-09-23,1142437.084473605
2022-09-26,1119239.9187991356
2022-09-27,1119483.3265385572
2022-09-28,1114003.3031135348
2022-09-29,1113724.1053118536
2022-09-30,1127513.3264340085
2022-10-03,1112990.237788824
2022-10-04,1137358.208809759
2022-10-06,1143306.8318115987
2022-10-07,1142006.0591848614
2022-10-10,1137383.831808718
2022-10-11,1119280.3515692165
2022-10-12,1130147.2273054316
2022-10-13,1122999.2304048962
2022-10-14,1126227.3040841212
2022-10-17,1131165.839097652
2022-10-18,1145052.5613149232
2022-10-19,1142330.4881338507
2022-10-20,1148750.234654535
2022-10-21,1148391.8723094626
2022-10-24,1156227.2269171278
2022-10-25,1156150.3557558411
2022-10-27,1164517.911235806
2022-10-28,1165532.8050125134
2022-10-31,1177760.037931812
2022-11-01,1189284.4698531472
2022-11-02,1183619.8895012727
2022-11-03,1183149.5811612827
2022-11-04,1188601.2810809272
2022-11-07,1196370.953177984
2022-11-09,1191921.9751162156
2022-11-10,1181453.3010691388
2022-11-11,1192011.8299042168
2022-11-14,1192486.4506974805
2022-11-15,1197337.4572468812
2022-11-16,1192928.7543894933
2022-11-17,1189335.3396320264
2022-11-18,1182638.7152174006
2022-11-21,1176394.0438097115
2022-11-22,1183374.65872192
2022-11-23,1184770.209769008
2022-11-24,1198100.5371780267
2022-11-25,1200405.0835389195
2022-11-28,1202588.7325614318
2022-11-29,1205820.4646003728
2022-11-30,1217544.2445095936
2022-12-01,1220283.0736965125
2022-12-02,1215961.2891115274
2022-12-05,1219870.46208123
2022-12-06,1215344.63743486
2022-12-07,1207936.0545811364
2022-12-08,1209424.3830915927
2022-12-09,1203392.570092662
2022-12-12,1203995.236540782
2022-12-13,1209437.3624991497
2022-12-14,1215707.1710097755
2022-12-15,1203210.268182873
2022-12-16,1189182.0774992986
2022-12-19,1201694.0835227089
2022-12-20,1197616.2591686512
2022-12-21,1187268.0412901589
2022-12-22,1179987.058011755
2022-12-23,1155186.0812192047
2022-12-26,1169274.0441080583
2022-12-27,1178992.305936699
2022-12-28,1178889.295914065
2022-12-29,1181757.6041425415
2022-12-30,1180427.6752938405
2023-01-02,1184269.5620003338
2023-01-03,1187395.5189390294
2023-01-04,1174826.6622675953
2023-01-05,1176465.3509060394
2023-01-06,1166686.42246485
2023-01-09,1179575.9272100397
2023-01-10,1171178.4873956447
2023-01-11,1167324.6734470206
2023-01-12,1167126.6990032224
2023-01-13,1173296.487057628
2023-01-16,1170898.3103351307
2023-01-17,1177394.375924048
2023-01-18,1183110.5117652633
2023-01-19,1179380.5772285846
2023-01-20,1171082.584847825
2023-01-23,1175795.585195324
2023-01-24,1173865.7750482555
2023-01-25,1162599.8866042027
2023-01-27,1144618.8185229104
2023-01-30,1145024.338455431
2023-01-31,1149652.1632393668
2023-02-01,1134025.9816390446
2023-02-02,1130027.9562326646
2023-02-03,1143496.809415592
2023-02-06,1143037.983006044
2023-02-07,1140582.7947364326
2023-02-08,1153272.0967482768
2023-02-09,1155438.366458751
2023-02-10,1152267.0089663405
2023-02-13,1146026.1087702264
2023-02-14,1149452.8910293344
2023-02-15,1158440.6430196667
2023-02-16,1164435.0950013807
2023-02-17,1157799.872530044
2023-02-20,1152711.9755833612
2023-02-21,1149011.869098536
2023-02-22,1133495.0742929818
2023-02-23,1131368.425022365
2023-02-24,1128262.9109960455
2023-02-27,1120324.8352417648
2023-02-28,1117160.9811010382
2023-03-01,1130089.1852991364
2023-03-02,1125831.798932392
2023-03-03,1142171.5219672828
2023-03-06,1150099.6959067422
2023-03-08,1155035.3879237627
2023-03-09,1145801.0991411516
2023-03-10,1138819.5506225356
2023-03-13,1123688.1229086225
2023-03-14,1114723.0765254125
2023-03-15,1115864.5520483488
2023-03-16,1118610.7686616704
2023-03-17,1126343.9713594555
2023-03-20,1116692.0089687756
2023-03-21,1121089.7178630007
2023-03-22,1123144.16064406
2023-03-23,1120807.2832390852
2023-03-24,1109665.2499405502
2023-03-27,1110040.919641275
2023-03-28,1102568.384044203
2023-03-29,1118213.1546109684
2023-03-31,1132103.7852242992
2023-04-03,1135871.9045373152
2023-04-05,1141723.7658506995
2023-04-06,1144383.7177489123
2023-04-10,1149712.156014493
2023-04-11,1156500.8578010967
2023-04-12,1161564.7747694214
2023-04-13,1162383.5441617267
2023-04-17,1161523.2084470189
2023-04-18,1161214.6406188426
2023-04-19,1156612.9393643034
2023-04-20,1157265.1606638902
2023-04-21,1154668.3543064324
2023-04-24,1162456.7802617485
2023-04-25,1166215.9871352327
2023-04-26,1168595.4151305645
2023-04-27,1175574.9423462022
2023-04-28,1185939.703387364
2023-05-02,1194213.3640252736
2023-05-03,1189304.0866092434
2023-05-04,1198515.333499576
2023-05-05,1194775.0776136897
2023-05-08,1206789.240989614
2023-05-09,1207757.0544282566
2023-05-10,1211612.286428248
2023-05-11,1213266.6099057775
2023-05-12,1210903.4181873896
2023-05-15,1215218.3507298608
2023-05-16,1212254.5666552049
2023-05-17,1207705.7094875327
2023-05-18,1201281.451139689
2023-05-19,1204769.6199562945
2023-05-22,1218406.2751525007
2023-05-23,1222844.4235805592
2023-05-24,1222041.1663978808
2023-05-25,1227081.7847231317
2023-05-26,1237356.4041211358
2023-05-29,1243969.3731007837
2023-05-30,1244320.9551135094
2023-05-31,1243299.7344917976
2023-06-01,1242752.2613605384
2023-06-02,1250138.4629758256
2023-06-05,1252866.9304593934
2023-06-06,1255648.8515718395
2023-06-07,1267208.130519306
2023-06-08,1259010.3073173845
2023-06-09,1255581.6305849918
2023-06-12,1260912.3438681294
2023-06-13,1269590.8204779802
2023-06-14,1273348.8042150687
2023-06-15,1273299.7860398043
2023-06-16,1282410.7083517609
2023-06-19,1279180.0909649099
2023-06-20,1285556.7588711695
2023-06-21,1288525.5125395525
2023-06-22,1280814.11744483
2023-06-23,1270270.568460415
2023-06-26,1277114.751033853
2023-06-27,1283327.937529667
2023-06-28,1293465.381891295
2023-06-30,1307793.9941628715
2023-07-03,1311225.9294716157
2023-07-04,1316177.7650597277
2023-07-05,1323874.189403671
2023-07-06,1330577.822078226
2023-07-07,1316369.4300437253
2023-07-10,1313351.943925645
2023-07-11,1322390.722123584
2023-07-12,1320795.4967801825
2023-07-13,1318399.8576757428
2023-07-14,1329152.9321264809
2023-07-17,1334059.2593871213
2023-07-18,1332279.4011701657
2023-07-19,1337427.4478269457
2023-07-20,1344298.8788645552
2023-07-21,1334489.0321659998
2023-07-24,1334232.1095289844
2023-07-25,1337334.8220856637
2023-07-26,1341259.070055006
2023-07-27,1335862.2215552349
2023-07-28,1340690.6775594086
2023-07-31,1351146.8608922956
2023-08-01,1348696.155311703
2023-08-02,1332939.3184494323
2023-08-03,1325353.1288538154
2023-08-04,1332455.0102569754
2023-08-07,1339215.0890086181
2023-08-08,1339519.7206606995
2023-08-09,1348438.050063635
2023-08-10,1346466.9633727006
2023-08-11,1339491.1994722867
2023-08-14,1336167.5673057276
2023-08-16,1338460.7398691701
2023-08-17,1336702.8049183132
2023-08-18,1332534.008715806
2023-08-21,1343267.2465485844
2023-08-22,1346411.6080369435
2023-08-23,1347703.945048923
2023-08-24,1345779.233151982
2023-08-25,1336163.234268725
2023-08-28,1339997.5684207429
2023-08-29,1345634.265698448
2023-08-30,1347602.7112201017
2023-08-31,1340175.4542349798
2023-09-01,1357527.666653524
2023-09-04,1367074.740343269
2023-09-05,1371373.6255146067
2023-09-06,1372784.8206334582
2023-09-07,1381086.720678985
2023-09-08,1387836.2312601667
2023-09-11,1401481.747370761
2023-09-12,1390634.0446997376
2023-09-13,1397643.4009554146
2023-09-14,1402251.4161854268
2023-09-15,1407988.4846486484
2023-09-18,1410454.152701186
2023-09-20,1398946.4151639987
2023-09-21,1389301.1060874208
2023-09-22,1387123.5287222688
2023-09-25,1390264.716899057
2023-09-26,1389797.0576473244
2023-09-27,1393074.537541046
2023-09-28,1375366.9281071336
2023-09-29,1387309.1122567884
2023-10-03,1379398.2003428394
2023-10-04,1367785.0097230275
2023-10-05,1372752.5371124067
2023-10-06,1382215.0791118285
2023-10-09,1371589.427168167
2023-10-10,1386002.4008361136
2023-10-11,1394505.4641934622
2023-10-12,1393496.8861507862
2023-10-13,1393251.8680874899
2023-10-16,1394075.3940963862
2023-10-17,1401099.1861756928
2023-10-18,1393920.5046035869
2023-10-19,1396866.737044596
2023-10-20,1389231.281666656
2023-10-23,1368253.3336732471
2023-10-25,1358607.6718431518
