date,total_value
2022-07-04,1000000.0
2022-07-05,998452.8286015552
2022-07-06,1009753.5071294581
2022-07-07,1018790.288095303
2022-07-08,1024328.480867383
2022-07-11,1024038.0162115046
2022-07-12,1014079.272059804
2022-07-13,1008291.6250344272
2022-07-14,1006523.4291504901
2022-07-15,1013504.6330654356
2022-07-18,1027984.882023864
2022-07-19,1031903.3180684188
2022-07-20,1043289.2242299572
2022-07-21,1048619.0964908786
2022-07-22,1055830.7603673988
2022-07-25,1050245.2052055707
2022-07-26,1040952.6796690405
2022-07-27,1050927.272953769
2022-07-28,1069101.7266427875
2022-07-29,1083540.9651986342
2022-08-01,1095021.6578094475
2022-08-02,1095362.56834399
2022-08-03,1098059.141070728
2022-08-04,1097670.7448068806
2022-08-05,1098649.5675283456
2022-08-08,1106707.4641029472
2022-08-10,1107316.8848522867
2022-08-11,1115163.2540872572
2022-08-12,1117635.5955000303
2022-08-16,1125661.9171481328
2022-08-17,1133176.7496548651
2022-08-18,1133950.3353540874
2022-08-19,1121443.4576320606
2022-08-22,1104535.084491913
2022-08-23,1110016.5410679404
2022-08-24,1111749.955196906
2022-08-25,1106540.0923245917
2022-08-26,1108841.9784700936
2022-08-29,1093307.1146326473
2022-08-30,1121497.233678754
2022-09-01,1107825.2905047412
2022-09-02,1107613.6398255534
2022-09-05,1115592.7224234643
2022-09-06,1114948.5199191533
2022-09-07,1112978.2938414463
2022-09-08,1123988.4460436925
2022-09-09,1126173.4062895032
2022-09-12,1132677.8411482715
2022-09-13,1141121.0504978048
2022-09-14,1136934.165908231
2022-09-15,1128955.206649877
2022-09-16,1107070.5757576842
2022-09-19,1112842.4969895899
2022-09-20,1125093.5684711533
2022-09-21,1118911.173194762
2022-09-22,1113319.3277155454
2022-09-23,1094219.580672642
2022-09-26,1074576.8929014262
2022-09-27,1074014.8345418347
2022-09-28,1064618.087079947
2022-09-29,1062060.5180335382
2022-09-30,1079505.6649241666
2022-10-03,1066433.6453536323
2022-10-04,1090869.5549748456
2022-10-06,1094500.6715222162
2022-10-07,1093417.6268753936
2022-10-10,1088766.6155341978
2022-10-11,1072508.7352157498
2022-10-12,1081352.7981243506
2022-10-13,1074453.6766843465
2022-10-14,1085274.3793275997
2022-10-17,1093237.6744622611
2022-10-18,1104298.2725431717
2022-10-19,1105896.013159837
2022-10-20,1109160.8112239984
2022-10-21,1109940.8105801658
2022-10-24,1119694.2560398455
2022-10-25,1114995.8823089018
2022-10-27,1120085.735792609
2022-10-28,1123233.8546361919
2022-10-31,1137467.7328302395
2022-11-01,1145879.3672532737
2022-11-02,1141929.2946124417
2022-11-03,1140025.3018766483
2022-11-04,1144095.3839060871
2022-11-07,1149504.1934832558
2022-11-09,1146611.8808801363
2022-11-10,1138478.1304782035
2022-11-11,1158780.80821698
2022-11-14,1157483.15274161
2022-11-15,1162172.0293266932
2022-11-16,1162566.715907929
2022-11-17,1158414.6130733269
2022-11-18,1156125.4309021584
2022-11-21,1146798.123610657
2022-11-22,1152118.4987257174
2022-11-23,1153574.1521731382
2022-11-24,1167268.1731277888
2022-11-25,1169077.4410840857
2022-11-28,1172234.933733973
2022-11-29,1175727.1699405713
2022-11-30,1184587.0203124215
2022-12-01,1188006.6095201608
2022-12-02,1180655.9419633115
2022-12-05,1180968.6077393843
2022-12-06,1177286.9219737928
2022-12-07,1172092.8465647283
2022-12-08,1175177.6922157567
2022-12-09,1168057.5462902607
2022-12-12,1168092.328045232
2022-12-13,1175092.4645821212
