date,total_value,cash,n_positions,gross_value
2022-07-04,998808.2900000002,-1191.7099999998006,10,1000000.0
2022-07-05,997115.4876133573,-1191.7099999998006,10,998307.1976133571
2022-07-06,1018724.8561669223,-1191.7099999998006,10,1019916.5661669221
2022-07-07,1033421.2112793226,-1191.7099999998006,10,1034612.9212793225
2022-07-08,1033795.6912309966,-1191.7099999998006,10,1034987.4012309965
2022-07-11,1036769.0393006776,-1191.7099999998006,10,1037960.7493006774
2022-07-12,1023921.0129611857,-1191.7099999998006,10,1025112.7229611855
2022-07-13,1026631.0441178828,-1191.7099999998006,10,1027822.7541178827
2022-07-14,1023316.0328211527,-1191.7099999998006,10,1024507.7428211526
2022-07-15,1035612.0603877107,-1191.7099999998006,10,1036803.7703877105
2022-07-18,1059713.2581610482,-1191.7099999998006,10,1060904.968161048
2022-07-19,1065816.0717761812,-1191.7099999998006,10,1067007.781776181
2022-07-20,1073866.5275963289,-1191.7099999998006,10,1075058.2375963286
2022-07-21,1088576.7614681406,-1191.7099999998006,10,1089768.4714681404
2022-07-22,1103601.6187495135,-1191.7099999998006,10,1104793.3287495133
2022-07-25,1102155.990656557,-1191.7099999998006,10,1103347.7006565568
2022-07-26,1095203.9308894302,-1191.7099999998006,10,1096395.64088943
2022-07-27,1108657.0040649108,-1191.7099999998006,10,1109848.7140649105
2022-07-28,1129818.573890834,-1191.7099999998006,10,1131010.2838908338
2022-07-29,1132375.2573237666,-1191.7099999998006,10,1133566.9673237663
2022-08-01,1136227.6152964083,-2621.464829537578,10,1138849.0801259459
2022-08-02,1140739.5710182656,-2621.464829537578,10,1143361.035847803
2022-08-03,1143112.8949221114,-2621.464829537578,10,1145734.359751649
2022-08-04,1142055.8548210487,-2621.464829537578,10,1144677.3196505862
2022-08-05,1139524.3105403562,-2621.464829537578,10,1142145.7753698938
2022-08-08,1139850.7291752307,-2621.464829537578,10,1142472.1940047683
2022-08-10,1142653.4325168522,-2621.464829537578,10,1145274.8973463897
2022-08-11,1145436.718122483,-2621.464829537578,10,1148058.1829520206
2022-08-12,1155349.1250925618,-2621.464829537578,10,1157970.5899220994
2022-08-16,1167399.2272218592,-2621.464829537578,10,1170020.6920513967
2022-08-17,1178489.0966351042,-2621.464829537578,10,1181110.5614646417
2022-08-18,1177462.0734199588,-2621.464829537578,10,1180083.5382494964
2022-08-19,1161325.9474635622,-2621.464829537578,10,1163947.4122930998
