date,fold_id_used,fold_train_end,n_picks,picks,predicted_probas,n_trades,n_problematic_trades,total_cost_inr
2022-07-04,0,2021-12-28,10,"BAJFINANCE,ICICIBANK,SBIN,SHRIRAMFIN,ASIANPAINT,TCS,TITAN,ULTRACEMCO,EICHERMOT,ITC","0.5438,0.5438,0.5438,0.5323,0.5215,0.5215,0.5215,0.5215,0.5205,0.5205",10,0,691.71
2022-08-01,0,2021-12-28,10,"ASIANPAINT,RELIANCE,HEROMOTOCO,BEL,NTPC,POWERGRID,SBIN,NESTLEIND,HDFCLIFE,TCS","0.5505,0.5438,0.5406,0.5323,0.5323,0.5323,0.5323,0.5299,0.5130,0.5130",17,0,1810.8808804102216
2022-09-01,0,2021-12-28,10,"ONGC,POWERGRID,WIPRO,HINDALCO,AXISBANK,TATACONSUM,SBIN,SHRIRAMFIN,SUNPHARMA,BAJFINANCE","0.5323,0.5323,0.5323,0.5320,0.5231,0.5141,0.5120,0.5120,0.5120,0.5117",18,0,2101.3672400768082
2022-09-29,0,2021-12-28,10,"RELIANCE,JSWSTEEL,M&M,TATACONSUM,POWERGRID,TATASTEEL,WIPRO,HINDALCO,ULTRACEMCO,NESTLEIND","0.5438,0.5359,0.5359,0.5359,0.5323,0.5323,0.5323,0.5305,0.5227,0.5141",16,0,1527.8124646378542
2022-10-31,0,2021-12-28,10,"BAJAJ-AUTO,HEROMOTOCO,NESTLEIND,HINDUNILVR,LTIM,ADANIENT,BAJAJFINSV,BAJFINANCE,JSWSTEEL,M&M","0.5324,0.5324,0.5299,0.5244,0.5231,0.5141,0.5141,0.5141,0.5141,0.5141",17,0,1850.2657049686256
2022-11-29,0,2021-12-28,10,"BAJFINANCE,HINDALCO,HINDUNILVR,JSWSTEEL,LTIM,TATACONSUM,AXISBANK,TITAN,TRENT,BEL","0.5438,0.5320,0.5244,0.5231,0.5231,0.5231,0.5141,0.5141,0.5141,0.5120",16,0,1635.9481968227515
2022-12-27,0,2021-12-28,10,"BAJFINANCE,ITC,NTPC,HINDALCO,TECHM,ICICIBANK,KOTAKBANK,TATACONSUM,BHARTIARTL,RELIANCE","0.5438,0.5323,0.5323,0.5320,0.5231,0.5141,0.5141,0.5141,0.5120,0.5120",17,0,1850.762715253727
2023-01-24,0,2021-12-28,10,"ADANIENT,BAJFINANCE,ICICIBANK,RELIANCE,ULTRACEMCO,MARUTI,NESTLEIND,DRREDDY,BEL,ITC","0.5438,0.5438,0.5438,0.5438,0.5401,0.5349,0.5349,0.5324,0.5323,0.5323",16,0,1577.034917030805
2023-02-22,0,2021-12-28,10,"ADANIENT,ICICIBANK,RELIANCE,SBIN,ITC,NTPC,SHRIRAMFIN,WIPRO,KOTAKBANK,LTIM","0.5438,0.5438,0.5438,0.5438,0.5323,0.5323,0.5323,0.5323,0.5236,0.5231",16,0,1620.6154306974809
2023-03-23,0,2021-12-28,10,"BAJFINANCE,ICICIBANK,RELIANCE,HINDUNILVR,MARUTI,NESTLEIND,SUNPHARMA,HCLTECH,SBIN,SHRIRAMFIN","0.5438,0.5438,0.5438,0.5349,0.5349,0.5349,0.5349,0.5324,0.5323,0.5323",16,0,1520.9406784481603
